author,gender,birth_year,age,previous_awards,title,award_year,genre,publisher,winner
Thomas Pynchon,male,1937,37,debutant,Gravity's Rainbow,1974,SF,Viking,0
David Gerrold,male,1944,30,ex_nominee,The Man Who Folded Himself,1974,SF,Random House,0
Poul Anderson,male,1926,48,ex_nominee,The People of the Wind,1974,SF,Signet,0
Robert A. Heinlein,male,1907,67,ex_nominee,Time Enough for Love,1974,SF,Putnam,0
Isaac Asimov,male,1920,53,debutant,The Gods Themselves,1973,SF,Doubleday,1
Robert Silverberg,male,1935,38,ex_winner,The Book of Skulls,1973,Fantasy,Scribner's,0
Robert Silverberg,male,1935,38,ex_winner,Dying Inside,1973,SF,Scribner's,0
Norman Spinrad,male,1940,33,ex_nominee,The Iron Dream,1973,SF,Avon,0
John Brunner,male,1934,39,ex_nominee,The Sheep Look Up,1973,SF,Harper & Row,0
George Alec Effinger,male,1947,26,debutant,What Entropy Means to Me,1973,SF,Doubleday,0
David Gerrold,male,1944,29,debutant,When Harlie Was One,1973,SF,Nelson Doubleday; Ballantine,0
Robert Silverberg,male,1935,37,ex_nominee,A Time of Changes,1972,SF,Nelson Doubleday,1
Poul Anderson,male,1926,46,ex_nominee,The Byworlder,1972,SF,Signet,0
R. A. Lafferty,male,1914,58,ex_nominee,The Devil Is Dead,1972,Fantasy,Avon,0
T. J. Bass,male,1932,40,debutant,Half Past Human,1972,SF,Ballantine,0
Ursula K. Le Guin,male,1929,43,ex_winner,The Lathe of Heaven,1972,SF,Scribner',0
Kate Wilhelm,female,1928,44,ex_nominee,Margaret and I,1972,SF,"Little, Brown",0
Larry Niven,male,1938,33,debutant,Ringworld,1971,SF,Ballantine,1
Joanna Russ,female,1937,34,ex_nominee,And Chaos Died,1971,SF,Ace,0
R. A. Lafferty,male,1914,57,ex_nominee,Fourth Mansions,1971,Fantasy,Ace,0
D. G. Compton,male,1930,41,debutant,The Steel Crocodile,1971,SF,Ace,0
Robert Silverberg,male,1935,36,ex_nominee,Tower of Glass,1971,SF,Scribner's,0
Wilson Tucker,male,1914,57,debutant,The Year of the Quiet Sun,1971,SF,Ace,0
Ursula K. Le Guin,female,1929,41,debutant,The Left Hand of Darkness,1970,Fantasy,Ace,1
Norman Spinrad,male,1940,30,debutant,Bug Jack Barron,1970,SF,Avon,0
Roger Zelazny,male,1937,33,ex_nominee,Isle of the Dead,1970,SF,Ace,0
John Brunner,male,1934,36,ex_nominee,The Jagged Orbit,1970,SF,Ace,0
"Kurt Vonnegut, Jr.",male,1922,48,debutant,Slaughterhouse-Five,1970,SF,Delacorte,0
Robert Silverberg,male,1935,35,ex_nominee,Up the Line,1970,SF,Ballantine,0
Alexei Panshin,male,1940,29,debutant,Rite of Passage,1969,SF,Ace,1
James Blish,male,1921,48,debutant,Black Easter,1969,SF,Doubleday,0
Philip K. Dick,male,1928,41,ex_nominee,Do Androids Dream of Electric Sheep?,1969,SF,Doubleday,0
Robert Silverberg,male,1935,34,ex_nominee,The Masks of Time,1969,SF,Ballantine,0
R. A. Lafferty,male,1914,55,debutant,Past Master,1969,SF,Ace,0
Joanna Russ,female,1937,32,debutant,Picnic on Paradise,1969,SF,Ace,0
John Brunner,male,1934,35,debutant,Stand on Zanzibar,1969,SF,Doubleday,0
Samuel R. Delany,male,1942,26,ex_winner,The Einstein Intersection,1968,SF,Ace,1
Piers Anthony,male,1934,34,debutant,Chthon,1968,SF,Ballantine,0
Hayden Howard,male,1925,43,debutant,The Eskimo Invasion,1968,SF,Ballantine,0
Roger Zelazny,male,1937,31,debutant,Lord of Light,1968,SF,Doubleday,0
Robert Silverberg,male,1935,33,debutant,Thorns,1968,SF,Ballantine,0
Samuel R. Delany,male,1942,25,debutant,Babel-17,1967,SF,Ace,1
Daniel Keyes,male,1927,40,debutant,Flowers for Algernon,1967,SF,"Harcourt, Brace & World",1
Robert A. Heinlein,male,1907,60,debutant,The Moon Is a Harsh Mistress,1967,SF,Putnam's,0
Frank Herbert,male,1920,46,debutant,Dune,1966,SF,Chilton,1
Clifford D. Simak,male,1904,62,debutant,All Flesh Is Grass,1966,SF,Doubleday,0
Theodore Thomas,male,1920,46,debutant,The Clone,1966,SF,Berkley,0
Kate Wilhelm,female,1928,38,debutant,The Clone,1966,SF,Berkley,0
Philip K. Dick,male,1928,38,ex_nominee,Dr. Bloodmoney,1966,SF,Ace,0
James White,male,1928,38,debutant,The Escape Orbit,1966,SF,Ace,0
Thomas M. Disch,male,1940,26,debutant,The Genocides,1966,SF,Berkley,0
William S. Burroughs,male,1914,52,debutant,Nova Express,1966,SF,Grove Press,0
Keith Laumer,male,1925,41,debutant,A Plague of Demons,1966,SF,Berkley,0
Avram Davidson,male,1923,43,debutant,Rogue Dragon,1966,SF,Ace,0
G. C. Edmondson,male,1922,44,debutant,The Ship That Sailed the Time Stream,1966,SF,Ace,0
Poul Anderson,male,1926,40,debutant,The Star Fox,1966,SF,Doubleday,0
Philip K. Dick,male,1928,38,debutant,The Three Stigmata of Palmer Eldritch,1966,SF,Doubleday,0
